Date,Month,Campaign,Category,Region,Channel,Customer_Segment,Day_Type,Traffic,Conversion_Rate,Orders,AOV,Revenue,Cost,Marketing_Spend,Discount_%,Profit,Margin_%,Marketing_ROI,Profit_Per_Order
2025-10-12,Oct,Normal,Beauty,Malaysia,Affiliate,Returning,Weekend,3296,0.0473,156,65.87,10275.72,4788.36,1303.02,0.0904,4184.34,0.4072,7.89,26.82
2025-10-12,Oct,Normal,Home,Singapore,Affiliate,Returning,Weekend,3987,0.0305,121,160.98,19478.58,12204.36,992.35,0.0637,6281.87,0.3225,19.63,51.92
2025-10-12,Oct,Normal,Sports,Singapore,Paid Search,New,Weekend,3246,0.03,98,111.82,10958.36,5845.0,2141.28,0.0594,2972.08,0.2712,5.12,30.33
2025-10-18,Oct,Normal,Electronics,Malaysia,Social Ads,New,Weekend,6114,0.0223,136,310.57,42237.52,36938.25,1395.12,0.0613,3904.15,0.0924,30.28,28.71
2025-10-18,Oct,Normal,Fashion,Singapore,Social Ads,Returning,Weekend,4555,0.0353,161,90.07,14501.27,9590.65,2158.43,0.1125,2752.19,0.1898,6.72,17.09
2025-10-18,Oct,Normal,Beauty,Malaysia,Paid Search,New,Weekend,4158,0.0427,178,60.93,10845.54,5169.64,3277.52,0.087,2398.38,0.2211,3.31,13.47
2025-10-18,Oct,Normal,Home,Singapore,Social Ads,New,Weekend,3757,0.0286,107,144.69,15481.83,10385.08,1239.84,0.1075,3856.91,0.2491,12.49,36.05
2025-10-18,Oct,Normal,Sports,Singapore,Social Ads,New,Weekend,3276,0.0299,98,118.01,11564.98,6838.89,1243.31,0.0776,3482.78,0.3011,9.3,35.54
2025-10-25,Oct,Normal,Electronics,Singapore,Social Ads,Returning,Weekend,5494,0.0235,129,304.22,39244.38,34028.42,2112.23,0.0686,3103.73,0.0791,18.58,24.06
2025-10-25,Oct,Normal,Fashion,Thailand,Email,Returning,Weekend,5123,0.0334,171,89.57,15316.47,9452.74,883.72,0.0946,4980.01,0.3251,17.33,29.12
2025-10-25,Oct,Normal,Beauty,Thailand,Email,Returning,Weekend,3622,0.047,170,61.7,10489.0,4486.9,945.19,0.0965,5056.91,0.4821,11.1,29.75
2025-10-25,Oct,Normal,Home,Singapore,Paid Search,Returning,Weekend,4002,0.0279,111,150.91,16751.01,10753.72,1808.65,0.0962,4188.64,0.2501,9.26,37.74
2025-10-25,Oct,Normal,Sports,Singapore,Social Ads,Returning,Weekend,3205,0.0301,96,118.3,11356.8,6548.36,1364.76,0.0944,3443.68,0.3032,8.32,35.87
2025-10-30,Oct,Normal,Electronics,Singapore,Affiliate,Returning,Weekday,5048,0.024,121,318.05,38484.05,32620.39,1052.25,0.0575,4811.41,0.125,36.57,39.76
2025-10-30,Oct,Normal,Fashion,Thailand,Paid Search,Returning,Weekday,4289,0.0403,173,89.57,15495.61,9704.0,2752.39,0.1193,3039.22,0.1961,5.63,17.57
2025-10-30,Oct,Normal,Beauty,Singapore,Affiliate,New,Weekday,2993,0.0445,133,59.1,7860.3,3297.99,1073.1,0.1258,3489.21,0.4439,7.32,26.23
2025-10-30,Oct,Normal,Home,Thailand,Email,New,Weekday,3593,0.03,108,142.93,15436.44,10445.62,584.98,0.1123,4405.84,0.2854,26.39,40.79
2025-10-30,Oct,Normal,Sports,Singapore,Paid Search,Returning,Weekday,2579,0.0297,77,118.11,9094.47,5252.15,1570.25,0.094,2272.07,0.2498,5.79,29.51
2025-11-03,Nov,11.11 Mega Sale,Electronics,Singapore,Paid Search,Returning,Weekday,12197,0.0282,344,298.26,102601.44,86770.69,17840.05,0.226,-2009.3,-0.0196,5.75,-5.84
2025-11-03,Nov,11.11 Mega Sale,Fashion,Malaysia,Paid Search,New,Weekday,12566,0.0388,487,82.02,39943.74,25288.27,23515.6,0.3272,-8860.13,-0.2218,1.7,-18.19
2025-11-03,Nov,11.11 Mega Sale,Beauty,Malaysia,Affiliate,Returning,Weekday,6381,0.0495,316,64.05,20239.8,9231.41,5737.39,0.231,5271.0,0.2604,3.53,16.68
2025-11-03,Nov,11.11 Mega Sale,Home,Singapore,Paid Search,New,Weekday,7555,0.0375,283,148.23,41949.09,26814.6,11886.19,0.2233,3248.3,0.0774,3.53,11.48
2025-11-03,Nov,11.11 Mega Sale,Sports,Singapore,Email,Returning,Weekday,5263,0.0299,157,117.01,18370.57,9953.51,1838.98,0.236,6578.08,0.3581,9.99,41.9
2025-11-06,Nov,11.11 Mega Sale,Electronics,Thailand,Organic,New,Weekday,11817,0.0265,313,306.18,95834.34,78439.65,2395.18,0.2541,14999.51,0.1565,40.01,47.92
2025-11-06,Nov,11.11 Mega Sale,Fashion,Malaysia,Social Ads,New,Weekday,12110,0.0412,499,85.58,42704.42,26259.44,22981.62,0.3447,-6536.64,-0.1531,1.86,-13.1
2025-11-06,Nov,11.11 Mega Sale,Beauty,Singapore,Organic,Returning,Weekday,6820,0.052,355,60.79,21580.45,9870.0,1999.47,0.2363,9710.98,0.45,10.79,27.35
2025-11-06,Nov,11.11 Mega Sale,Home,Singapore,Social Ads,Returning,Weekday,6490,0.0337,219,144.94,31741.86,20357.61,5449.35,0.204,5934.9,0.187,5.82,27.1
2025-11-06,Nov,11.11 Mega Sale,Sports,Singapore,Email,New,Weekday,4368,0.0296,129,105.96,13668.84,7303.45,1160.11,0.2504,5205.28,0.3808,11.78,40.35
2025-11-09,Nov,11.11 Mega Sale,Electronics,Singapore,Paid Search,New,Weekend,13734,0.0289,397,318.28,126357.16,102349.73,28072.17,0.2231,-4064.74,-0.0322,4.5,-10.24
2025-11-09,Nov,11.11 Mega Sale,Fashion,Singapore,Social Ads,New,Weekend,14607,0.0382,558,81.17,45292.86,28100.81,27451.1,0.3373,-10259.05,-0.2265,1.65,-18.39
2025-11-09,Nov,11.11 Mega Sale,Beauty,Singapore,Organic,New,Weekend,7305,0.0474,346,61.64,21327.44,9866.97,3015.09,0.1927,8445.38,0.396,7.07,24.41
2025-11-09,Nov,11.11 Mega Sale,Home,Thailand,Paid Search,New,Weekend,8174,0.0348,285,146.82,41843.7,28986.69,8249.96,0.2298,4607.05,0.1101,5.07,16.17
2025-11-09,Nov,11.11 Mega Sale,Sports,Thailand,Social Ads,New,Weekend,5426,0.0328,178,122.34,21776.52,12930.91,4061.76,0.2345,4783.85,0.2197,5.36,26.88
2025-11-10,Nov,11.11 Mega Sale,Electronics,Singapore,Social Ads,Returning,Weekday,11878,0.0276,327,314.35,102792.45,83934.21,12228.56,0.2323,6629.68,0.0645,8.41,20.27
2025-11-10,Nov,11.11 Mega Sale,Fashion,Malaysia,Social Ads,New,Weekday,12914,0.0388,501,83.69,41928.69,26090.37,19497.86,0.3383,-3659.54,-0.0873,2.15,-7.3
2025-11-10,Nov,11.11 Mega Sale,Beauty,Malaysia,Organic,New,Weekday,6570,0.0481,316,61.81,19531.96,9184.24,3235.1,0.2218,7112.62,0.3642,6.04,22.51
2025-11-10,Nov,11.11 Mega Sale,Home,Singapore,Paid Search,New,Weekday,6637,0.0349,231,148.61,34328.91,22972.43,4428.94,0.1964,6927.54,0.2018,7.75,29.99
2025-11-10,Nov,11.11 Mega Sale,Sports,Singapore,Email,New,Weekday,4997,0.0292,146,108.95,15906.7,9260.25,1644.46,0.2381,5001.99,0.3145,9.67,34.26
2025-11-11,Nov,11.11 Mega Sale,Electronics,Malaysia,Paid Search,Returning,Weekday,11403,0.0285,326,308.36,100525.36,80737.19,16033.95,0.248,3754.22,0.0373,6.27,11.52
2025-11-11,Nov,11.11 Mega Sale,Fashion,Malaysia,Social Ads,Returning,Weekday,12198,0.0422,515,83.77,43141.55,28635.35,20232.8,0.3302,-5726.6,-0.1327,2.13,-11.12
2025-11-11,Nov,11.11 Mega Sale,Beauty,Singapore,Organic,New,Weekday,6117,0.0498,304,61.16,18592.64,8706.69,3247.99,0.2054,6637.96,0.357,5.72,21.84
2025-11-11,Nov,11.11 Mega Sale,Home,Singapore,Email,Returning,Weekday,7915,0.0295,233,155.72,36282.76,23548.56,2561.81,0.2046,10172.39,0.2804,14.16,43.66
2025-11-11,Nov,11.11 Mega Sale,Sports,Singapore,Organic,Returning,Weekday,5268,0.0304,160,110.08,17612.8,10194.83,1245.99,0.2465,6171.98,0.3504,14.14,38.57
2025-11-12,Nov,11.11 Mega Sale,Electronics,Singapore,Paid Search,New,Weekday,12310,0.0253,311,320.45,99659.95,82529.42,14135.52,0.2435,2995.01,0.0301,7.05,9.63
2025-11-12,Nov,11.11 Mega Sale,Fashion,Singapore,Email,New,Weekday,12965,0.0428,555,75.99,42174.45,24471.82,10232.31,0.344,7470.32,0.1771,4.12,13.46
2025-11-12,Nov,11.11 Mega Sale,Beauty,Thailand,Social Ads,Returning,Weekday,6394,0.053,339,56.54,19167.06,8766.96,10198.64,0.2404,201.46,0.0105,1.88,0.59
2025-11-12,Nov,11.11 Mega Sale,Home,Singapore,Paid Search,New,Weekday,7195,0.0352,253,149.65,37861.45,23941.38,11086.86,0.226,2833.21,0.0748,3.41,11.2
2025-11-12,Nov,11.11 Mega Sale,Sports,Singapore,Paid Search,New,Weekday,4580,0.0326,149,105.52,15722.48,8651.39,6454.53,0.2302,616.56,0.0392,2.44,4.14
2025-11-14,Nov,11.11 Mega Sale,Electronics,Thailand,Email,New,Weekday,11653,0.0257,299,288.62,86297.38,71414.65,5725.38,0.2549,9157.35,0.1061,15.07,30.63
2025-11-14,Nov,11.11 Mega Sale,Fashion,Singapore,Email,New,Weekday,11703,0.0411,481,73.08,35151.48,21984.26,7211.56,0.3647,5955.66,0.1694,4.87,12.38
2025-11-14,Nov,11.11 Mega Sale,Beauty,Singapore,Paid Search,New,Weekday,6408,0.0549,352,59.16,20824.32,9029.79,12485.23,0.2517,-690.7,-0.0332,1.67,-1.96
2025-11-14,Nov,11.11 Mega Sale,Home,Thailand,Organic,Returning,Weekday,6759,0.0348,235,149.45,35120.75,23724.37,2566.9,0.2158,8829.48,0.2514,13.68,37.57
2025-11-14,Nov,11.11 Mega Sale,Sports,Malaysia,Organic,New,Weekday,4629,0.0345,159,111.48,17725.32,10384.77,1073.17,0.2465,6267.38,0.3536,16.52,39.42
2025-11-22,Nov,Normal,Electronics,Malaysia,Social Ads,Returning,Weekend,5793,0.0269,156,304.88,47561.28,40649.14,2289.53,0.0844,4622.61,0.0972,20.77,29.63
2025-11-22,Nov,Normal,Fashion,Singapore,Social Ads,New,Weekend,4948,0.0333,165,90.15,14874.75,9268.78,2392.24,0.1352,3213.73,0.2161,6.22,19.48
2025-11-22,Nov,Normal,Beauty,Thailand,Paid Search,Returning,Weekend,3736,0.0417,156,63.59,9920.04,4617.39,3057.78,0.1144,2244.87,0.2263,3.24,14.39
2025-11-22,Nov,Normal,Home,Malaysia,Email,New,Weekend,3959,0.0281,111,161.73,17952.03,10405.67,563.89,0.1048,6982.47,0.389,31.84,62.91
2025-11-22,Nov,Normal,Sports,Thailand,Paid Search,Returning,Weekend,3145,0.0291,92,119.87,11028.04,6104.09,1448.7,0.1073,3475.25,0.3151,7.61,37.77
2025-12-02,Dec,Normal,Electronics,Singapore,Social Ads,New,Weekday,6059,0.0236,143,331.46,47398.78,38970.62,1669.32,0.0554,6758.84,0.1426,28.39,47.26
2025-12-02,Dec,Normal,Fashion,Singapore,Paid Search,New,Weekday,3771,0.0322,121,82.43,9974.03,6152.77,1771.91,0.1458,2049.35,0.2055,5.63,16.94
2025-12-02,Dec,Normal,Beauty,Singapore,Email,Returning,Weekday,3106,0.0456,142,66.94,9505.48,4861.41,522.57,0.0865,4121.5,0.4336,18.19,29.02
2025-12-02,Dec,Normal,Home,Thailand,Paid Search,Returning,Weekday,3349,0.0261,87,157.75,13724.25,9119.19,1344.43,0.0849,3260.63,0.2376,10.21,37.48
2025-12-02,Dec,Normal,Sports,Malaysia,Organic,Returning,Weekday,2464,0.0279,69,112.41,7756.29,4647.21,300.0,0.0961,2809.08,0.3622,25.85,40.71
2025-12-08,Dec,Normal,Electronics,Singapore,Paid Search,New,Weekday,5615,0.0256,144,289.88,41742.72,33848.08,2362.32,0.0621,5532.32,0.1325,17.67,38.42
2025-12-08,Dec,Normal,Fashion,Singapore,Affiliate,Returning,Weekday,4269,0.0352,150,86.45,12967.5,8185.61,975.31,0.1143,3806.58,0.2935,13.3,25.38
2025-12-08,Dec,Normal,Beauty,Singapore,Social Ads,Returning,Weekday,3017,0.0469,142,58.19,8262.98,3640.37,2115.13,0.119,2507.48,0.3035,3.91,17.66
2025-12-08,Dec,Normal,Home,Malaysia,Paid Search,Returning,Weekday,3555,0.0327,116,160.67,18637.72,11839.41,1643.74,0.0786,5154.57,0.2766,11.34,44.44
2025-12-08,Dec,Normal,Sports,Singapore,Organic,Returning,Weekday,2939,0.0298,88,115.61,10173.68,6282.6,440.55,0.0961,3450.53,0.3392,23.09,39.21
2025-12-12,Dec,Christmas Sale,Electronics,Thailand,Social Ads,Returning,Weekday,9874,0.0287,284,333.61,94745.24,79698.83,9174.32,0.1426,5872.09,0.062,10.33,20.68
2025-12-12,Dec,Christmas Sale,Fashion,Singapore,Social Ads,New,Weekday,9380,0.0389,365,82.33,30050.45,18104.26,11569.07,0.2491,377.12,0.0125,2.6,1.03
2025-12-12,Dec,Christmas Sale,Beauty,Malaysia,Organic,New,Weekday,5518,0.047,259,61.08,15819.72,7251.46,1583.02,0.1962,6985.24,0.4416,9.99,26.97
2025-12-12,Dec,Christmas Sale,Home,Singapore,Social Ads,Returning,Weekday,5443,0.0285,155,142.69,22116.95,15087.02,4138.19,0.1596,2891.74,0.1307,5.34,18.66
2025-12-12,Dec,Christmas Sale,Sports,Malaysia,Organic,New,Weekday,3921,0.0303,119,122.9,14625.1,7636.58,866.97,0.1813,6121.55,0.4186,16.87,51.44
2025-12-16,Dec,Christmas Sale,Electronics,Singapore,Email,New,Weekday,9543,0.0242,231,316.91,73206.21,61869.61,2066.69,0.2003,9269.91,0.1266,35.42,40.13
2025-12-16,Dec,Christmas Sale,Fashion,Singapore,Paid Search,New,Weekday,10119,0.0403,408,83.16,33929.28,21766.5,20458.81,0.2847,-8296.03,-0.2445,1.66,-20.33
2025-12-16,Dec,Christmas Sale,Beauty,Singapore,Email,Returning,Weekday,5993,0.0491,294,60.45,17772.3,7879.51,3081.23,0.1958,6811.56,0.3833,5.77,23.17
2025-12-16,Dec,Christmas Sale,Home,Thailand,Organic,Returning,Weekday,5719,0.0359,205,157.57,32301.85,21587.72,1431.05,0.1719,9283.08,0.2874,22.57,45.28
2025-12-16,Dec,Christmas Sale,Sports,Singapore,Social Ads,New,Weekday,3896,0.0302,118,112.65,13292.7,8251.42,2298.62,0.2091,2742.66,0.2063,5.78,23.24
2025-12-20,Dec,Christmas Sale,Electronics,Thailand,Email,Returning,Weekend,9793,0.0238,233,298.82,69625.06,59127.89,2647.85,0.166,7849.32,0.1127,26.29,33.69
2025-12-20,Dec,Christmas Sale,Fashion,Malaysia,Social Ads,New,Weekend,10041,0.0355,357,83.44,29788.08,19018.63,11384.1,0.2721,-614.65,-0.0206,2.62,-1.72
2025-12-20,Dec,Christmas Sale,Beauty,Singapore,Email,New,Weekend,6467,0.0534,345,62.29,21490.05,9778.57,3254.24,0.2021,8457.24,0.3935,6.6,24.51
2025-12-20,Dec,Christmas Sale,Home,Singapore,Paid Search,Returning,Weekend,6282,0.033,207,144.42,29894.94,18961.44,4584.51,0.1497,6348.99,0.2124,6.52,30.67
2025-12-20,Dec,Christmas Sale,Sports,Singapore,Paid Search,Returning,Weekend,4442,0.0324,144,116.35,16754.4,10251.89,4314.87,0.205,2187.64,0.1306,3.88,15.19
2025-12-24,Dec,Christmas Sale,Electronics,Singapore,Paid Search,Returning,Weekday,9634,0.0268,258,311.3,80315.4,65994.43,7735.0,0.1916,6585.97,0.082,10.38,25.53
2025-12-24,Dec,Christmas Sale,Fashion,Malaysia,Social Ads,New,Weekday,7176,0.0299,214,79.48,17008.72,10531.05,8582.93,0.2569,-2105.26,-0.1238,1.98,-9.84
2025-12-24,Dec,Christmas Sale,Beauty,Malaysia,Social Ads,Returning,Weekday,5364,0.0462,248,59.2,14681.6,6521.22,6567.85,0.1998,1592.53,0.1085,2.24,6.42
2025-12-24,Dec,Christmas Sale,Home,Malaysia,Affiliate,New,Weekday,5541,0.0267,148,158.54,23463.92,15219.75,2117.18,0.1725,6126.99,0.2611,11.08,41.4
2025-12-24,Dec,Christmas Sale,Sports,Malaysia,Paid Search,New,Weekday,4103,0.035,143,115.26,16482.18,9659.19,4008.54,0.1873,2814.45,0.1708,4.11,19.68
2025-12-27,Dec,Christmas Sale,Electronics,Singapore,Organic,New,Weekend,10289,0.0246,253,322.77,81660.81,67730.15,2072.06,0.1644,11858.6,0.1452,39.41,46.87
2025-12-27,Dec,Christmas Sale,Fashion,Singapore,Paid Search,New,Weekend,11464,0.0381,437,84.63,36983.31,22641.27,16701.04,0.2727,-2359.0,-0.0638,2.21,-5.4
2025-12-27,Dec,Christmas Sale,Beauty,Malaysia,Email,Returning,Weekend,6482,0.0523,339,58.43,19807.77,10030.29,2632.94,0.1933,7144.54,0.3607,7.52,21.08
2025-12-27,Dec,Christmas Sale,Home,Malaysia,Social Ads,Returning,Weekend,5944,0.033,196,151.18,29631.28,19604.55,3940.93,0.1616,6085.8,0.2054,7.52,31.05
2025-12-27,Dec,Christmas Sale,Sports,Singapore,Email,Returning,Weekend,4606,0.0325,150,119.76,17964.0,9735.78,1123.15,0.1988,7105.07,0.3955,15.99,47.37
2025-12-31,Dec,Christmas Sale,Electronics,Singapore,Social Ads,New,Weekday,10325,0.0258,266,287.23,76403.18,67918.39,8847.17,0.1774,-362.38,-0.0047,8.64,-1.36
2025-12-31,Dec,Christmas Sale,Fashion,Thailand,Organic,New,Weekday,7616,0.0384,293,83.55,24480.15,15503.09,2104.08,0.2642,6872.98,0.2808,11.63,23.46
2025-12-31,Dec,Christmas Sale,Beauty,Malaysia,Affiliate,Returning,Weekday,5351,0.0468,250,62.84,15710.0,7083.52,4522.16,0.2042,4104.32,0.2613,3.47,16.42
2025-12-31,Dec,Christmas Sale,Home,Singapore,Email,New,Weekday,5356,0.0327,175,146.36,25613.0,17851.95,1350.87,0.1541,6410.18,0.2503,18.96,36.63
2025-12-31,Dec,Christmas Sale,Sports,Malaysia,Email,New,Weekday,3927,0.0328,129,117.53,15161.37,8174.2,1085.84,0.191,5901.33,0.3892,13.96,45.75
2026-01-06,Jan,Normal,Electronics,Malaysia,Organic,New,Weekday,4782,0.0238,114,305.83,34864.62,29698.36,427.78,0.0461,4738.48,0.1359,81.5,41.57
2026-01-06,Jan,Normal,Fashion,Singapore,Email,Returning,Weekday,4298,0.0358,154,86.82,13370.28,8082.9,669.84,0.1094,4617.54,0.3454,19.96,29.98
2026-01-06,Jan,Normal,Beauty,Malaysia,Affiliate,New,Weekday,2907,0.0436,127,62.75,7969.25,3401.1,1243.98,0.095,3324.17,0.4171,6.41,26.17
2026-01-06,Jan,Normal,Home,Thailand,Affiliate,New,Weekday,4103,0.0267,110,157.16,17287.6,11397.15,809.51,0.0897,5080.94,0.2939,21.36,46.19
2026-01-06,Jan,Normal,Sports,Singapore,Social Ads,Returning,Weekday,2895,0.0307,89,109.34,9731.26,5648.87,1064.74,0.0766,3017.65,0.3101,9.14,33.91
2026-01-13,Jan,Normal,Electronics,Thailand,Organic,New,Weekday,5904,0.0212,125,291.5,36437.5,28940.36,616.4,0.0711,6880.74,0.1888,59.11,55.05
2026-01-13,Jan,Normal,Fashion,Singapore,Paid Search,Returning,Weekday,4547,0.0348,158,81.06,12807.48,7724.83,3072.56,0.0964,2010.09,0.1569,4.17,12.72
2026-01-13,Jan,Normal,Beauty,Malaysia,Email,Returning,Weekday,3759,0.0402,151,63.08,9525.08,4316.61,767.68,0.1047,4440.79,0.4662,12.41,29.41
2026-01-13,Jan,Normal,Home,Singapore,Paid Search,Returning,Weekday,3780,0.0289,109,152.61,16634.49,10452.54,1436.55,0.0953,4745.4,0.2853,11.58,43.54
2026-01-13,Jan,Normal,Sports,Thailand,Social Ads,Returning,Weekday,2830,0.0307,87,114.44,9956.28,5469.07,1146.26,0.0825,3340.95,0.3356,8.69,38.4
2026-01-21,Jan,Normal,Electronics,Singapore,Affiliate,New,Weekday,5025,0.0245,123,275.93,33939.39,28430.07,1114.19,0.0429,4395.13,0.1295,30.46,35.73
2026-01-21,Jan,Normal,Fashion,Thailand,Paid Search,Returning,Weekday,4102,0.0296,121,84.7,10248.7,6040.5,2258.12,0.1036,1950.08,0.1903,4.54,16.12
2026-01-21,Jan,Normal,Beauty,Malaysia,Paid Search,Returning,Weekday,3110,0.041,128,63.15,8083.2,3851.46,1974.92,0.0942,2256.82,0.2792,4.09,17.63
2026-01-21,Jan,Normal,Home,Malaysia,Social Ads,New,Weekday,3512,0.0312,110,152.56,16781.6,11333.46,1010.78,0.0672,4437.36,0.2644,16.6,40.34
2026-01-21,Jan,Normal,Sports,Malaysia,Email,Returning,Weekday,2952,0.0345,102,110.7,11291.4,6662.71,607.59,0.1123,4021.1,0.3561,18.58,39.42
2026-01-27,Jan,CNY Sale,Electronics,Malaysia,Organic,New,Weekday,6735,0.0187,126,308.45,38864.7,31529.59,763.42,0.1339,6571.69,0.1691,50.91,52.16
2026-01-27,Jan,CNY Sale,Fashion,Malaysia,Paid Search,New,Weekday,7191,0.0331,238,83.75,19932.5,12610.67,7365.76,0.2209,-43.93,-0.0022,2.71,-0.18
2026-01-27,Jan,CNY Sale,Beauty,Singapore,Organic,Returning,Weekday,4699,0.0482,227,63.04,14310.08,7402.74,927.03,0.2002,5980.31,0.4179,15.44,26.34
2026-01-27,Jan,CNY Sale,Home,Malaysia,Social Ads,New,Weekday,6339,0.034,215,140.24,30151.6,20438.36,5105.49,0.177,4607.75,0.1528,5.91,21.43
2026-01-27,Jan,CNY Sale,Sports,Singapore,Social Ads,New,Weekday,3381,0.0296,100,117.57,11757.0,6419.16,1770.79,0.148,3567.05,0.3034,6.64,35.67
2026-01-30,Jan,CNY Sale,Electronics,Singapore,Affiliate,New,Weekday,6617,0.0229,152,325.29,49444.08,41143.33,2015.03,0.1052,6285.72,0.1271,24.54,41.35
2026-01-30,Jan,CNY Sale,Fashion,Thailand,Email,New,Weekday,7406,0.0387,287,84.43,24231.41,14571.09,1996.94,0.2074,7663.38,0.3163,12.13,26.7
2026-01-30,Jan,CNY Sale,Beauty,Singapore,Social Ads,New,Weekday,5431,0.0451,245,61.3,15018.5,6948.38,5096.09,0.1763,2974.03,0.198,2.95,12.14
2026-01-30,Jan,CNY Sale,Home,Singapore,Email,New,Weekday,6187,0.0353,219,142.67,31244.73,19906.35,1509.74,0.186,9828.64,0.3146,20.7,44.88
2026-01-30,Jan,CNY Sale,Sports,Malaysia,Social Ads,Returning,Weekday,3325,0.0242,81,115.76,9376.56,5168.8,1189.96,0.1606,3017.8,0.3218,7.88,37.26
2026-02-03,Feb,CNY Sale,Electronics,Singapore,Affiliate,Returning,Weekday,6651,0.0269,179,309.76,55447.04,46764.26,2758.86,0.1247,5923.92,0.1068,20.1,33.09
2026-02-03,Feb,CNY Sale,Fashion,Malaysia,Paid Search,Returning,Weekday,6863,0.0322,221,83.52,18457.92,11197.97,7345.41,0.1971,-85.46,-0.0046,2.51,-0.39
2026-02-03,Feb,CNY Sale,Beauty,Malaysia,Social Ads,Returning,Weekday,5210,0.0461,240,60.31,14474.4,6462.35,5274.7,0.2049,2737.35,0.1891,2.74,11.41
2026-02-03,Feb,CNY Sale,Home,Malaysia,Paid Search,Returning,Weekday,6170,0.0359,221,156.58,34604.18,23227.71,5921.07,0.1662,5455.4,0.1577,5.84,24.69
2026-02-03,Feb,CNY Sale,Sports,Singapore,Affiliate,New,Weekday,3152,0.0324,102,107.63,10978.26,6870.01,1202.71,0.1442,2905.54,0.2647,9.13,28.49
2026-02-08,Feb,CNY Sale,Electronics,Thailand,Organic,Returning,Weekend,6337,0.0233,147,317.49,46671.03,38920.06,679.34,0.1217,7071.63,0.1515,68.7,48.11
2026-02-08,Feb,CNY Sale,Fashion,Thailand,Email,New,Weekend,8663,0.0357,309,89.66,27704.94,16515.25,2081.69,0.1765,9108.0,0.3288,13.31,29.48
2026-02-08,Feb,CNY Sale,Beauty,Malaysia,Organic,New,Weekend,5425,0.0446,242,57.11,13820.62,6183.44,1746.0,0.1953,5891.18,0.4263,7.92,24.34
2026-02-08,Feb,CNY Sale,Home,Singapore,Social Ads,Returning,Weekend,7423,0.0314,233,155.65,36266.45,22936.92,4000.55,0.1481,9328.98,0.2572,9.07,40.04
2026-02-08,Feb,CNY Sale,Sports,Singapore,Paid Search,New,Weekend,3721,0.0271,101,121.85,12306.85,7136.64,880.38,0.1254,4289.83,0.3486,13.98,42.47
2026-02-14,Feb,CNY Sale,Electronics,Singapore,Organic,Returning,Weekend,6644,0.0278,185,313.09,57921.65,48658.8,1145.22,0.1386,8117.63,0.1401,50.58,43.88
2026-02-14,Feb,CNY Sale,Fashion,Malaysia,Social Ads,Returning,Weekend,7685,0.0392,301,81.13,24420.13,14687.11,9254.76,0.2188,478.26,0.0196,2.64,1.59
2026-02-14,Feb,CNY Sale,Beauty,Singapore,Social Ads,New,Weekend,5329,0.0424,226,65.38,14775.88,6159.72,5181.54,0.1626,3434.62,0.2324,2.85,15.2
